Jan 31,Lafayette Elementary School,International Night,7:00 pm,http://maps.google.com/maps?q=Lafayette+Elementary+School+950+Moraga+Road,+Lafayette,+CA+94549&hl=en&sll=37.0625,-95.677068&sspn=55.016555,113.818359&hq=Lafayette+Elementary+School+950+Moraga+Road,+Lafayette,+CA+94549&t=m&z=15&iwloc=A
Feb 3,Ellen Driscoll Playhouse in Piedmont,Chinese New Year,1:15 pm,https://maps.google.com/maps?hl=en&q=325+Highland+Ave+Piedmont,+CA+94611&ie=UTF-8&ei=yIEiUfK3PIeGiQL5moGABg&ved=0CAgQ_AUoAg
Feb 7,Legendary Palace Restaurant,Oakland Rotary Club New Year Dinner,8:15 pm,http://maps.google.com/maps?hl=en&q=Legendary+Palace+Restaurant+oakland&bav=on.2,or.r_gc.r_pw.r_qf.&bvm=bv.42661473,d.cGE&biw=1613&bih=588&um=1&ie=UTF-8&sa=N&tab=wl
Apr 14,Morgan Hill Buddhist Community Center,Morgan Hill Harumatsuri/Nor Cal Taiko Expo,2:30 pm,http://maps.google.com/maps?q=Morgan+Hill+Buddhist+Community+Center&hl=en&sll=37.0625
May 3,American International Montessori School,Berkeley for Childrens Day,11:45 am,https://maps.google.com/maps?q=American+International+Montessori+School+berkeley&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
May 5,Redwood Chapel Community Church in Castro Valley,Japanese Day,7:30 pm,https://maps.google.com/maps?q=Redwood+Chapel+Community+Church&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
May 9,California State University East Bay,Asian Heritage Festival,12 noon,https://maps.google.com/maps?hl=en&q=california+state+university+east+bay+hayward&bav=on.2,or.r_cp.r_qf.&bvm=bv.44158598,d.cGE&biw=1624&bih=1008&pdl=300&um=1&ie=UTF-8&sa=N&tab=wl
May 18,Antioch High School Auditorium,Performance & Collaboration with Mau Loa Ohana for Hula for Cancer,5:00 pm,https://maps.google.com/maps?hl=en&q=antioch+high+school+700+W+18th+St,+Antioch,+CA&um=1&ie=UTF-8&sa=N&tab=wl
May 27,San Ramon Central Park,San Ramon Art & Wind Festival,3:00 pm,https://maps.google.com/maps?q=San+Ramon+Central+Park
Jun 1,Ashland Youth Center,Ashland Youth Center Grand Opening in San Leandro,12:30 pm,https://maps.google.com/maps?q=Ashland+Youth+Center+in+San+Leandro&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Jun 8,Eden Community Center,JACL Bazaar,2:00 pm,https://maps.google.com/maps?q=710+Elgin+Street+San+Leandro&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Jun 13,California State University East Bay,Asian Islander Graduation,TBD,https://maps.google.com/maps?hl=en&q=california+state+university+east+bay+hayward&bav=on.2,or.r_cp.r_qf.&bvm=bv.44158598,d.cGE&biw=1624&bih=1008&pdl=300&um=1&ie=UTF-8&sa=N&tab=wl
Jun 18,Sandia National Laboratory,Asian Cultural Festival,11:30 am,https://maps.google.com/maps?q=Sandia+National+Laboratory&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Jul 4,Downtown Danville,4th of July Parade,9:00 am,http://maps.google.com/maps?q=Hartz+Avenue
Jul 27,Alameda Buddhist Temple,Obon Festival,5:45 pm,https://maps.google.com/maps?q=Alameda+Buddhist+Temple&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Aug 3,Oakland Buddhist Church,Obon Festival,5:40 pm,https://maps.google.com/maps?q=Buddhist+Church+of+Oakland&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Aug 5,Hotel Safitel in Redwood City,International Annual Port Conference,9:00 am,https://maps.google.com/maps?q=Sofitel+hotel+San+Francisco+bay&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a&channel=fflb&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Aug 17,San Mateo Central Park,Toyonaka Osaka Sister City 50th Year Celebration,11 am,https://maps.google.com/maps?q=50+E+5th+Ave,+San+Mateo,+CA&bav=on.2,or.r_cp.r_qf.&bvm=bv.51156542,d.cGE,pv.xjs.s.en_US.mLQ5XJR8KNk.O&biw=1734&bih=854&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Sept 15,Castro Valley Fall Festival (pending),Community Stage Downtown Castro Valley,2 pm,https://maps.google.com/maps?hl=en&q=Downtown+Castro+Valley&um=1&ie=UTF-8&sa=N&tab=wl
Oct 5,St. John's in San Lorenzo (pending),Annual Fall Festival,12 noon,https://maps.google.com/maps?q=270+E+Lewelling+Blvd,+San+Lorenzo,+CA&bav=on.2,or.r_cp.r_qf.&bvm=bv.51156542,d.cGE,pv.xjs.s.en_US.mLQ5XJR8KNk.O&biw=1734&bih=854&um=1&hl=en&ie=UTF-8&sa=N&tab=wl
Oct 12,Livermore Public Library Civic Center,Asian Theme Program,10:45 am,https://maps.google.com/maps?q=Livermore+Public+Library&aq=f&um=1&ie=UTF-8&hl=en&sa=N&tab=wl
Oct 12,Newark Hillton Newark,Mr & Mrs Sakaki's Anniversary Party,2:30 pm,https://maps.google.com/maps?hl=en&q=Hilton+Newark/Fremont&um=1&ie=UTF-8&sa=N&tab=wl
